Common Name,Status
Cliff/Cave Swallow,Accidental
swallow sp.,Accidental
Bushtit,Accidental
Ruby-crowned Kinglet,Accidental
Golden-crowned Kinglet,Accidental
Ruby-crowned/Golden-crowned Kinglet,Accidental
White-breasted Nuthatch,Accidental
Pygmy Nuthatch,Accidental
Red-breasted Nuthatch,Rare
nuthatch sp.,Accidental
Brown Creeper,Accidental
Blue-gray Gnatcatcher,Accidental
Rock Wren,Accidental
Canyon Wren,Accidental
Northern House Wren,Accidental
Pacific Wren,Accidental
Winter Wren,Accidental
Pacific/Winter Wren,Accidental
Marsh Wren,Accidental
Bewick's Wren,Accidental
wren sp.,Accidental
American Dipper,Accidental
European Starling,Rare
Gray Catbird,Accidental
Brown Thrasher,Accidental
Sage Thrasher,Accidental
Northern Mockingbird,Accidental
Eastern Bluebird,Accidental
Western Bluebird,Accidental
Mountain Bluebird,Accidental
bluebird sp.,Accidental
Townsend's Solitaire,Accidental
Varied Thrush,Accidental
Veery,Accidental
Swainson's Thrush,Accidental
Hermit Thrush,Accidental
Catharus sp.,Accidental
American Robin,Rare
Varied Thrush/American Robin,Accidental
thrush sp.,Accidental
Red-flanked Bluetail,Accidental
Bohemian Waxwing,Accidental
Cedar Waxwing,Rare
Bohemian/Cedar Waxwing,Accidental
Phainopepla,Accidental
Zebra Finch,Accidental
House Sparrow,Rare
American Pipit,Accidental
Brambling,Accidental
Evening Grosbeak,Accidental
Pine Grosbeak,Accidental
Gray-crowned Rosy-Finch,Accidental
Black Rosy-Finch,Accidental
rosy-finch sp.,Accidental
House Finch,Rare
Purple Finch,Accidental
House/Purple Finch,Accidental
Cassin's Finch,Accidental
Haemorhous sp.,Accidental
Redpoll,Accidental
Red Crossbill,Accidental
Cassia Crossbill,Accidental
Red/Cassia Crossbill,Accidental
White-winged Crossbill,Accidental
crossbill sp.,Accidental
Pine Siskin,Rare
Lesser Goldfinch,Rare
American Goldfinch,Rare
new world goldfinch sp.,Accidental
Spinus sp.,Accidental
Acanthis/Spinus sp.,Accidental
finch sp.,Accidental
Lapland Longspur,Accidental
Chestnut-collared Longspur,Accidental
Thick-billed Longspur,Accidental
Snow Bunting,Accidental
Grasshopper Sparrow,Accidental
Chipping Sparrow,Accidental
Clay-colored Sparrow,Accidental
Brewer's Sparrow,Accidental
Clay-colored/Brewer's Sparrow,Accidental
Spizella sp.,Accidental
Black-throated Sparrow,Accidental
Lark Sparrow,Accidental
Lark Bunting,Accidental
American Tree Sparrow,Accidental
Spizella sp./American Tree Sparrow,Accidental
Fox Sparrow,Accidental
Dark-eyed Junco,Rare
White-crowned Sparrow,Rare
Golden-crowned Sparrow,Accidental
White-crowned x Golden-crowned Sparrow (hybrid),Accidental
Harris's Sparrow,Accidental
White-throated Sparrow,Accidental
White-crowned/White-throated Sparrow,Accidental
Zonotrichia sp.,Accidental
Sagebrush Sparrow,Accidental
Vesper Sparrow,Accidental
LeConte's Sparrow,Accidental
Savannah Sparrow,Accidental
Song Sparrow,Rare
Lincoln's Sparrow,Accidental
Swamp Sparrow,Accidental
Green-tailed Towhee,Accidental
Spotted Towhee,Accidental
towhee sp.,Accidental
new world sparrow sp.,Accidental
Yellow-breasted Chat,Accidental
Yellow-headed Blackbird,Accidental
Bobolink,Accidental
Western Meadowlark,Accidental
Western/Eastern Meadowlark,Accidental
Hooded Oriole,Accidental
Bullock's Oriole,Accidental
Baltimore Oriole,Accidental
Bullock's x Baltimore Oriole (hybrid),Accidental
Scott's Oriole,Accidental
new world oriole sp.,Accidental
Red-winged Blackbird,Rare
Tricolored Blackbird,Accidental
Red-winged/Tricolored Blackbird,Accidental
Brown-headed Cowbird,Accidental
Rusty Blackbird,Accidental
Brewer's Blackbird,Accidental
Rusty/Brewer's Blackbird,Accidental
Common Grackle,Accidental
Great-tailed Grackle,Accidental
grackle sp.,Accidental
blackbird sp.,Accidental
Ovenbird,Accidental
Worm-eating Warbler,Accidental
Louisiana Waterthrush,Accidental
Northern Waterthrush,Accidental
Louisiana/Northern Waterthrush,Accidental
Black-and-white Warbler,Accidental
Tennessee Warbler,Accidental
Orange-crowned Warbler,Accidental
Nashville Warbler,Accidental
Virginia's Warbler,Accidental
MacGillivray's Warbler,Accidental
Common Yellowthroat,Accidental
Hooded Warbler,Accidental
American Redstart,Accidental
Cape May Warbler,Accidental
Northern Parula,Accidental
Magnolia Warbler,Accidental
Blackburnian Warbler,Accidental
Yellow Warbler,Accidental
Chestnut-sided Warbler,Accidental
Blackpoll Warbler,Accidental
Black-throated Blue Warbler,Accidental
Palm Warbler,Accidental
Yellow-rumped Warbler,Rare
Yellow-throated Warbler,Accidental
Prairie Warbler,Accidental
Black-throated Gray Warbler,Accidental
Townsend's Warbler,Accidental
Hermit Warbler,Accidental
Townsend's x Hermit Warbler (hybrid),Accidental
Townsend's/Hermit Warbler,Accidental
Black-throated Green Warbler,Accidental
Setophaga sp.,Accidental
Wilson's Warbler,Accidental
new world warbler sp.,Accidental
Summer Tanager,Accidental
Scarlet Tanager,Accidental
Western Tanager,Accidental
tanager sp. (Piranga sp.),Accidental
Rose-breasted Grosbeak,Accidental
Black-headed Grosbeak,Accidental
Rose-breasted x Black-headed Grosbeak (hybrid),Accidental
Rose-breasted/Black-headed Grosbeak,Accidental
Blue Grosbeak,Accidental
Lazuli Bunting,Accidental
Indigo Bunting,Accidental
Lazuli x Indigo Bunting (hybrid),Accidental
Lazuli/Indigo Bunting,Accidental
Dickcissel,Accidental
passerine sp.,Accidental
bird sp.,Accidental
