Common Name,Status
Guadalupe Murrelet,Accidental
Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Accidental
Craveri's Murrelet,Accidental
Scripps's/Craveri's Murrelet,Accidental
Scripps's/Guadalupe/Craveri's Murrelet,Accidental
murrelet sp.,Accidental
alcid sp.,Accidental
Swallow-tailed Gull,Accidental
Little Gull,Accidental
Ross's Gull,Accidental
Black-legged Kittiwake,Accidental
Black-legged/Red-legged Kittiwake,Accidental
Sabine's Gull,Accidental
Bonaparte's Gull,Accidental
Black-headed Gull,Accidental
Laughing Gull,Accidental
Franklin's Gull,Accidental
Laughing/Franklin's Gull,Accidental
Black-tailed Gull,Accidental
Heermann's Gull,Accidental
Common Gull,Accidental
Short-billed Gull,Accidental
Common/Short-billed Gull,Accidental
Ring-billed Gull,Accidental
Yellow-footed Gull,Accidental
Western Gull,Rare
Yellow-footed/Western Gull,Accidental
Kelp Gull,Accidental
American Herring Gull,Accidental
Vega Gull,Accidental
American Herring/Vega Gull,Accidental
Glaucous Gull,Accidental
American Herring x Glaucous Gull (hybrid),Accidental
Lesser Black-backed Gull,Accidental
American Herring x Lesser Black-backed Gull (hybrid),Accidental
Herring complex/Lesser Black-backed Gull,Accidental
California Gull,Rare
Glaucous-winged Gull,Accidental
Western x Glaucous-winged Gull (hybrid),Accidental
American Herring x Glaucous-winged Gull (hybrid),Accidental
Glaucous x Glaucous-winged Gull (hybrid),Accidental
American Herring/Glaucous-winged Gull,Accidental
Western/Glaucous-winged Gull,Accidental
Slaty-backed Gull,Accidental
Glaucous-winged x Slaty-backed Gull (hybrid),Accidental
Iceland Gull,Accidental
American Herring/Iceland Gull,Accidental
white-winged gull sp.,Accidental
Larus sp.,Accidental
gull sp.,Accidental
Black Skimmer,Accidental
Bridled Tern,Accidental
Least Tern,Accidental
Gull-billed Tern,Accidental
Caspian Tern,Accidental
Black Tern,Accidental
Forster's Tern,Accidental
Arctic Tern,Accidental
Common Tern,Accidental
Forster's/Common Tern,Accidental
Common/Arctic Tern,Accidental
Sterna sp.,Accidental
Elegant Tern,Accidental
Sandwich x Elegant Tern (hybrid),Accidental
Royal Tern,Accidental
Elegant/Royal Tern,Accidental
Thalasseus sp.,Accidental
large tern sp.,Accidental
tern sp.,Accidental
gull/tern sp.,Accidental
Chilean Flamingo,Accidental
American Flamingo,Accidental
American/Greater Flamingo,Accidental
Lesser Flamingo,Accidental
flamingo sp.,Accidental
Pied-billed Grebe,Rare
Horned Grebe,Accidental
Red-necked Grebe,Accidental
Eared Grebe,Accidental
Horned/Eared Grebe,Accidental
Podiceps sp.,Accidental
Western Grebe,Accidental
Clark's Grebe,Accidental
Western x Clark's Grebe (hybrid),Accidental
Western/Clark's Grebe,Accidental
grebe sp.,Accidental
Red-billed Tropicbird,Accidental
tropicbird sp.,Accidental
Red-throated Loon,Accidental
Arctic Loon,Accidental
Pacific Loon,Accidental
Arctic/Pacific Loon,Accidental
Common Loon,Accidental
Yellow-billed Loon,Accidental
Common x Yellow-billed Loon (hybrid),Accidental
Common/Yellow-billed Loon,Accidental
loon sp.,Accidental
Laysan Albatross,Accidental
Black-footed Albatross,Accidental
Short-tailed Albatross,Accidental
albatross sp.,Accidental
Wilson's Storm-Petrel,Accidental
Fork-tailed Storm-Petrel,Accidental
Leach's Storm-Petrel,Accidental
Townsend's Storm-Petrel,Accidental
Leach's/Townsend's Storm-Petrel,Accidental
Leach's/Townsend's Storm-Petrel (dark-rumped),Accidental
Leach's/Townsend's Storm-Petrel (white-rumped),Accidental
Ainley's Storm-Petrel,Accidental
Leach's/Townsend's/Ainley's Storm-Petrel,Accidental
Ashy Storm-Petrel,Accidental
Band-rumped Storm-Petrel,Accidental
Wedge-rumped Storm-Petrel,Accidental
Black Storm-Petrel,Accidental
Tristram's Storm-Petrel,Accidental
Least Storm-Petrel,Accidental
Hydrobates sp.,Accidental
storm-petrel sp. (dark-rumped),Accidental
storm-petrel sp. (white-rumped),Accidental
storm-petrel sp.,Accidental
Northern Fulmar,Accidental
Kermadec Petrel,Accidental
Murphy's Petrel,Accidental
Hawaiian Petrel,Accidental
Galapagos/Hawaiian Petrel (Dark-rumped Petrel),Accidental
Cook's Petrel,Accidental
Stejneger's Petrel,Accidental
Cookilaria petrel sp.,Accidental
Pterodroma sp.,Accidental
Jouanin's Petrel,Accidental
White-chinned Petrel,Accidental
Procellaria sp.,Accidental
Streaked Shearwater,Accidental
Cory's Shearwater,Accidental
Pink-footed Shearwater,Accidental
Flesh-footed Shearwater,Accidental
Great Shearwater,Accidental
Wedge-tailed Shearwater,Accidental
Buller's Shearwater,Accidental
Sooty Shearwater,Accidental
Short-tailed Shearwater,Accidental
Sooty/Short-tailed Shearwater,Accidental
Manx Shearwater,Accidental
Black-vented Shearwater,Accidental
small shearwater sp.,Accidental
shearwater sp.,Accidental
procellariid sp.,Accidental
Wood Stork,Accidental
Magnificent Frigatebird,Accidental
Lesser Frigatebird,Accidental
Great Frigatebird,Accidental
frigatebird sp.,Accidental
Northern Gannet,Accidental
Red-footed Booby,Accidental
Cocos Booby,Accidental
Masked Booby,Accidental
Nazca Booby,Accidental
Masked/Nazca Booby,Accidental
Blue-footed Booby,Accidental
Brown x Blue-footed Booby (hybrid),Accidental
booby sp.,Accidental
sulid sp.,Accidental
Brandt's Cormorant,Accidental
Pelagic Cormorant,Accidental
Double-crested Cormorant,Rare
Great/Double-crested Cormorant,Accidental
Neotropic Cormorant,Accidental
Double-crested x Neotropic Cormorant (hybrid),Accidental
Double-crested/Neotropic Cormorant,Accidental
cormorant sp.,Accidental
Glossy Ibis,Accidental
White-faced Ibis,Accidental
Glossy x White-faced Ibis (hybrid),Accidental
Glossy/White-faced Ibis,Accidental
ibis sp.,Accidental
Roseate Spoonbill,Accidental
American Bittern,Accidental
Least Bittern,Accidental
small bittern sp.,Accidental
Yellow-crowned Night Heron,Accidental
Black-crowned Night Heron,Accidental
Yellow-crowned x Black-crowned Night Heron (hybrid),Accidental
Yellow-crowned/Black-crowned Night Heron,Accidental
Little Blue Heron,Accidental
Tricolored Heron,Accidental
Reddish Egret,Accidental
Snowy Egret,Rare
Green Heron,Accidental
Western Cattle-Egret,Accidental
Western/Eastern Cattle-Egret,Accidental
Great Egret,Rare
Great Blue Heron,Rare
Ardea sp.,Accidental
heron sp.,Accidental
white egret sp.,Accidental
American White Pelican,Accidental
Brown Pelican,Accidental
pelican sp.,Accidental
California Condor,Accidental
Black Vulture,Accidental
Turkey Vulture,Rare
new world vulture sp.,Accidental
Osprey,Accidental
White-tailed Kite,Accidental
Swallow-tailed Kite,Accidental
Golden Eagle,Accidental
Sharp-shinned Hawk,Accidental
Cooper's Hawk,Accidental
Sharp-shinned/Cooper's Hawk,Accidental
American Goshawk,Accidental
Cooper's Hawk/American Goshawk,Accidental
Accipitrine hawk sp. (former Accipiter sp.),Accidental
Northern Harrier,Accidental
White-tailed Eagle,Accidental
Bald Eagle,Accidental
Golden/Bald Eagle,Accidental
Mississippi Kite,Accidental
Common Black Hawk,Accidental
Harris's Hawk,Accidental
Gray Hawk,Accidental
Broad-winged Hawk,Accidental
Red-shouldered Hawk,Rare
Common Black x Red-shouldered Hawk (hybrid),Accidental
Zone-tailed Hawk,Accidental
Swainson's Hawk,Accidental
Red-tailed Hawk,Rare
Rough-legged Hawk,Accidental
Red-tailed x Rough-legged Hawk (hybrid),Accidental
Ferruginous Hawk,Accidental
Buteo sp.,Accidental
Buteo/eagle sp.,Accidental
hawk sp.,Accidental
eagle sp.,Accidental
American Barn Owl,Accidental
Flammulated Owl,Accidental
Western Screech-Owl,Accidental
Snowy Owl,Accidental
Great Horned Owl,Accidental
Northern Pygmy-Owl,Accidental
Elf Owl,Accidental
Burrowing Owl,Accidental
Spotted Owl,Accidental
Barred Owl,Accidental
Spotted x Barred Owl (hybrid),Accidental
Spotted/Barred Owl,Accidental
Great Gray Owl,Accidental
Strix sp.,Accidental
Long-eared Owl,Accidental
Short-eared Owl,Accidental
Long-eared/Short-eared Owl,Accidental
Asio sp.,Accidental
Northern Saw-whet Owl,Accidental
pygmy-owl/saw-whet owl sp.,Accidental
owl sp.,Accidental
Belted Kingfisher,Accidental
Keel-billed Toucan,Accidental
Eurasian Wryneck,Accidental
Williamson's Sapsucker,Accidental
Yellow-bellied Sapsucker,Accidental
Red-naped Sapsucker,Accidental
Yellow-bellied x Red-naped Sapsucker (hybrid),Accidental
Yellow-bellied/Red-naped Sapsucker,Accidental
Red-breasted Sapsucker,Accidental
Yellow-bellied x Red-breasted Sapsucker (hybrid),Accidental
Red-naped x Red-breasted Sapsucker (hybrid),Accidental
