Common Name,Status
kingfisher sp.,Accidental
Williamson's Sapsucker,Accidental
Yellow-bellied Sapsucker,Accidental
Red-naped Sapsucker,Accidental
Yellow-bellied x Red-naped Sapsucker (hybrid),Accidental
Yellow-bellied/Red-naped Sapsucker,Accidental
Red-breasted Sapsucker,Accidental
Red-naped x Red-breasted Sapsucker (hybrid),Accidental
Red-naped/Red-breasted Sapsucker,Accidental
sapsucker sp.,Accidental
Lewis's Woodpecker,Accidental
Red-headed Woodpecker,Accidental
Acorn Woodpecker,Rare
Gila Woodpecker,Rare
Melanerpes sp.,Accidental
American Three-toed Woodpecker,Accidental
Downy Woodpecker,Accidental
Ladder-backed Woodpecker,Rare
Downy/Ladder-backed Woodpecker,Accidental
Hairy Woodpecker,Accidental
Downy/Hairy Woodpecker,Accidental
Arizona Woodpecker,Accidental
Dryobates sp.,Accidental
Northern Flicker,Rare
Gilded Flicker,Accidental
Northern x Gilded Flicker (hybrid),Accidental
Northern/Gilded Flicker,Accidental
woodpecker sp.,Accidental
Crested Caracara,Accidental
American Kestrel,Accidental
Merlin,Accidental
Peregrine Falcon,Accidental
Prairie Falcon,Accidental
large falcon sp.,Accidental
small falcon sp.,Accidental
falcon sp.,Accidental
diurnal raptor sp.,Accidental
Cockatiel,Accidental
Rose-ringed Parakeet,Accidental
Budgerigar,Accidental
Rosy-faced Lovebird,Accidental
Fischer's Lovebird,Accidental
Yellow-collared Lovebird,Accidental
Fischer's x Yellow-collared Lovebird (hybrid),Accidental
lovebird sp.,Accidental
Monk Parakeet,Accidental
White-winged Parakeet,Accidental
Yellow-chevroned Parakeet,Accidental
Red-crowned Amazon,Accidental
Lilac-crowned Amazon,Accidental
Peach-fronted Parakeet,Accidental
Nanday Parakeet,Accidental
large parakeet sp. (former Aratinga sp.),Accidental
parakeet sp.,Accidental
parrot sp.,Accidental
Gray-collared Becard,Accidental
Rose-throated Becard,Accidental
Northern Beardless-Tyrannulet,Accidental
Tufted Flycatcher,Accidental
Olive-sided Flycatcher,Accidental
Greater Pewee,Accidental
Western Wood-Pewee,Accidental
Eastern Wood-Pewee,Accidental
Western/Eastern Wood-Pewee,Accidental
pewee sp. (Contopus sp.),Accidental
Yellow-bellied Flycatcher,Accidental
Willow Flycatcher,Accidental
Alder/Willow Flycatcher (Traill's Flycatcher),Accidental
Least Flycatcher,Accidental
Hammond's Flycatcher,Accidental
Gray Flycatcher,Accidental
Dusky Flycatcher,Accidental
Hammond's/Dusky Flycatcher,Accidental
Gray/Dusky Flycatcher,Accidental
Pine Flycatcher,Accidental
