Common Name,Status
American Three-toed/Black-backed Woodpecker,Accidental
Downy Woodpecker,Rare
Hairy Woodpecker,Accidental
Downy/Hairy Woodpecker,Accidental
White-headed Woodpecker,Accidental
Dryobates sp.,Accidental
Pileated Woodpecker,Accidental
Northern Flicker,Rare
woodpecker sp.,Accidental
Crested Caracara,Accidental
American Kestrel,Accidental
Merlin,Accidental
Gyrfalcon,Accidental
Peregrine Falcon,Accidental
Prairie Falcon,Accidental
large falcon sp.,Accidental
small falcon sp.,Accidental
falcon sp.,Accidental
diurnal raptor sp.,Accidental
Cockatiel,Accidental
Rose-ringed Parakeet,Accidental
Red-rumped Parrot,Accidental
Budgerigar,Accidental
Rosy-faced Lovebird,Accidental
lovebird sp.,Accidental
Monk Parakeet,Accidental
Blue-and-yellow Macaw,Accidental
Military Macaw,Accidental
Mitred Parakeet,Accidental
parakeet sp.,Accidental
parrot sp.,Accidental
Olive-sided Flycatcher,Accidental
Western Wood-Pewee,Accidental
Eastern Wood-Pewee,Accidental
Western/Eastern Wood-Pewee,Accidental
pewee sp. (Contopus sp.),Accidental
Alder Flycatcher,Accidental
Willow Flycatcher,Accidental
Alder/Willow Flycatcher (Traill's Flycatcher),Accidental
Least Flycatcher,Accidental
Hammond's Flycatcher,Accidental
Gray Flycatcher,Accidental
Dusky Flycatcher,Accidental
Hammond's/Dusky Flycatcher,Accidental
Gray/Dusky Flycatcher,Accidental
Western Flycatcher,Accidental
Empidonax sp.,Accidental
Black Phoebe,Accidental
Eastern Phoebe,Accidental
Say's Phoebe,Accidental
phoebe sp.,Accidental
Vermilion Flycatcher,Accidental
Dusky-capped Flycatcher,Accidental
Ash-throated Flycatcher,Accidental
Tropical Kingbird,Accidental
Western Kingbird,Accidental
yellow-bellied kingbird sp.,Accidental
Eastern Kingbird,Accidental
Scissor-tailed Flycatcher,Accidental
Tyrannus sp.,Accidental
new world flycatcher sp.,Accidental
Hutton's Vireo,Accidental
Yellow-throated Vireo,Accidental
Cassin's Vireo,Accidental
Cassin's/Blue-headed Vireo,Accidental
Philadelphia Vireo,Accidental
Warbling Vireo,Accidental
Red-eyed Vireo,Accidental
vireo sp.,Accidental
Loggerhead Shrike,Accidental
Northern Shrike,Accidental
Loggerhead/Northern Shrike,Accidental
shrike sp.,Accidental
Canada Jay,Accidental
Pinyon Jay,Accidental
Steller's Jay,Rare
Blue Jay,Accidental
California Scrub-Jay,Accidental
Steller's Jay x California Scrub-Jay (hybrid),Accidental
California/Woodhouse's Scrub-Jay,Accidental
jay sp.,Accidental
Black-billed Magpie,Accidental
Clark's Nutcracker,Accidental
American Crow,Rare
crow sp.,Accidental
Common Raven,Rare
raven sp.,Accidental
crow/raven sp.,Accidental
corvid sp.,Accidental
Black-capped Chickadee,Rare
Mountain Chickadee,Accidental
Black-capped x Mountain Chickadee (hybrid),Accidental
Black-capped/Mountain Chickadee,Accidental
Chestnut-backed Chickadee,Rare
Mountain x Chestnut-backed Chickadee (hybrid),Accidental
Boreal Chickadee,Accidental
chickadee sp.,Accidental
Eurasian Skylark,Accidental
Horned Lark,Accidental
Bank Swallow,Accidental
Tree Swallow,Accidental
Violet-green Swallow,Rare
Tree/Violet-green Swallow,Accidental
Purple Martin,Accidental
Northern Rough-winged Swallow,Accidental
Barn Swallow,Rare
Cliff Swallow,Accidental
Barn x Cliff Swallow (hybrid),Accidental
swallow sp.,Accidental
Red-whiskered Bulbul,Accidental
Bushtit,Accidental
Swinhoe's White-eye,Accidental
Zosterops sp.,Accidental
white-eye sp.,Accidental
Ruby-crowned Kinglet,Rare
Golden-crowned Kinglet,Rare
Ruby-crowned/Golden-crowned Kinglet,Accidental
White-breasted Nuthatch,Accidental
Pygmy Nuthatch,Accidental
Red-breasted Nuthatch,Rare
nuthatch sp.,Accidental
Brown Creeper,Accidental
Blue-gray Gnatcatcher,Accidental
Rock Wren,Accidental
Canyon Wren,Accidental
Northern House Wren,Accidental
Pacific Wren,Accidental
Winter Wren,Accidental
Pacific/Winter Wren,Accidental
Marsh Wren,Accidental
Bewick's Wren,Rare
wren sp.,Accidental
American Dipper,Accidental
European Starling,Rare
Gray Catbird,Accidental
Brown Thrasher,Accidental
Sage Thrasher,Accidental
Northern Mockingbird,Accidental
