Common Name,Status
Hawaiian Petrel,Accidental
Galapagos/Hawaiian Petrel (Dark-rumped Petrel),Accidental
Cook's Petrel,Accidental
Pterodroma sp.,Accidental
Procellaria sp.,Accidental
Pink-footed Shearwater,Accidental
Flesh-footed Shearwater,Accidental
Great Shearwater,Accidental
Buller's Shearwater,Accidental
Sooty Shearwater,Accidental
Short-tailed Shearwater,Accidental
Sooty/Short-tailed Shearwater,Accidental
Manx Shearwater,Accidental
Black-vented Shearwater,Accidental
small shearwater sp.,Accidental
shearwater sp.,Accidental
procellariid sp.,Accidental
Magnificent Frigatebird,Accidental
frigatebird sp.,Accidental
Red-footed Booby,Accidental
Cocos Booby,Accidental
Nazca Booby,Accidental
Blue-footed Booby,Accidental
booby sp.,Accidental
Brandt's Cormorant,Accidental
Pelagic Cormorant,Accidental
Double-crested Cormorant,Rare
Double-crested x Neotropic Cormorant (hybrid),Accidental
Double-crested/Neotropic Cormorant,Accidental
cormorant sp.,Accidental
Glossy Ibis,Accidental
White-faced Ibis,Accidental
Glossy/White-faced Ibis,Accidental
ibis sp.,Accidental
American Bittern,Accidental
Black-crowned Night Heron,Accidental
Snowy Egret,Accidental
Green Heron,Accidental
Western Cattle-Egret,Accidental
Great Egret,Accidental
Great/Medium Egret,Accidental
Great Blue Heron,Rare
heron sp.,Accidental
white egret sp.,Accidental
American White Pelican,Accidental
Brown Pelican,Accidental
Black Vulture,Accidental
Turkey Vulture,Rare
Osprey,Accidental
White-tailed Kite,Accidental
Golden Eagle,Accidental
Sharp-shinned Hawk,Accidental
Cooper's Hawk,Accidental
Sharp-shinned/Cooper's Hawk,Accidental
American Goshawk,Accidental
Cooper's Hawk/American Goshawk,Accidental
Accipitrine hawk sp. (former Accipiter sp.),Accidental
Northern Harrier,Accidental
Bald Eagle,Rare
Golden/Bald Eagle,Accidental
Haliaeetus/Icthyophaga sp.,Accidental
Harris's Hawk,Accidental
Broad-winged Hawk,Accidental
Red-shouldered Hawk,Accidental
Broad-winged/Red-shouldered Hawk,Accidental
Zone-tailed Hawk,Accidental
Swainson's Hawk,Accidental
Red-tailed Hawk,Rare
Rough-legged Hawk,Accidental
Ferruginous Hawk,Accidental
Buteo sp.,Accidental
Buteo/eagle sp.,Accidental
hawk sp.,Accidental
eagle sp.,Accidental
American Barn Owl,Accidental
Flammulated Owl,Accidental
Western Screech-Owl,Accidental
Snowy Owl,Accidental
Great Horned Owl,Accidental
Northern Pygmy-Owl,Accidental
Burrowing Owl,Accidental
Spotted Owl,Accidental
Barred Owl,Accidental
Spotted x Barred Owl (hybrid),Accidental
Spotted/Barred Owl,Accidental
Great Gray Owl,Accidental
Strix sp.,Accidental
Long-eared Owl,Accidental
Short-eared Owl,Accidental
Long-eared/Short-eared Owl,Accidental
Asio sp.,Accidental
Boreal Owl,Accidental
Northern Saw-whet Owl,Accidental
pygmy-owl/saw-whet owl sp.,Accidental
owl sp.,Accidental
Belted Kingfisher,Accidental
Williamson's Sapsucker,Accidental
Yellow-bellied Sapsucker,Accidental
Red-naped Sapsucker,Accidental
Yellow-bellied x Red-naped Sapsucker (hybrid),Accidental
Yellow-bellied/Red-naped Sapsucker,Accidental
Red-breasted Sapsucker,Accidental
Red-naped x Red-breasted Sapsucker (hybrid),Accidental
Red-naped/Red-breasted Sapsucker,Accidental
sapsucker sp.,Accidental
Lewis's Woodpecker,Accidental
Red-headed Woodpecker,Accidental
Acorn Woodpecker,Accidental
Red-bellied Woodpecker,Accidental
American Three-toed Woodpecker,Accidental
Black-backed Woodpecker,Accidental
American Three-toed/Black-backed Woodpecker,Accidental
Downy Woodpecker,Rare
Hairy Woodpecker,Accidental
Downy/Hairy Woodpecker,Accidental
White-headed Woodpecker,Accidental
Dryobates sp.,Accidental
Pileated Woodpecker,Accidental
Northern Flicker,Rare
woodpecker sp.,Accidental
American Kestrel,Accidental
Merlin,Accidental
Lanner Falcon,Accidental
Gyrfalcon,Accidental
Peregrine Falcon,Accidental
Prairie Falcon,Accidental
large falcon sp.,Accidental
small falcon sp.,Accidental
falcon sp.,Accidental
diurnal raptor sp.,Accidental
Cockatiel,Accidental
Budgerigar,Accidental
Rosy-faced Lovebird,Accidental
Monk Parakeet,Accidental
parakeet sp.,Accidental
Olive-sided Flycatcher,Accidental
Western Wood-Pewee,Accidental
Western/Eastern Wood-Pewee,Accidental
pewee sp. (Contopus sp.),Accidental
Yellow-bellied Flycatcher,Accidental
Willow Flycatcher,Accidental
Alder/Willow Flycatcher (Traill's Flycatcher),Accidental
Least Flycatcher,Accidental
Hammond's Flycatcher,Accidental
Gray Flycatcher,Accidental
Dusky Flycatcher,Accidental
Hammond's/Dusky Flycatcher,Accidental
Gray/Dusky Flycatcher,Accidental
Western Flycatcher,Accidental
Empidonax sp.,Accidental
Black Phoebe,Accidental
Eastern Phoebe,Accidental
Say's Phoebe,Accidental
phoebe sp.,Accidental
Vermilion Flycatcher,Accidental
Dusky-capped Flycatcher,Accidental
Ash-throated Flycatcher,Accidental
Great Crested Flycatcher,Accidental
Myiarchus sp.,Accidental
Tropical Kingbird,Accidental
Tropical/Couch's Kingbird,Accidental
Western Kingbird,Accidental
yellow-bellied kingbird sp.,Accidental
Eastern Kingbird,Accidental
Western x Eastern Kingbird (hybrid),Accidental
Scissor-tailed Flycatcher,Accidental
new world flycatcher sp.,Accidental
White-eyed Vireo,Accidental
